,USSOC1,USSOC2,USSOC3,PTAXJop,STAXJop,OTXJop,MISSTAX,MISITAX,USPIT,CYGF,FED,STATE,CITY
USSOC1,0,0,0,0,0,0,0,0,0,0,0,0,0
USSOC2,0,0,0,0,0,0,0,0,0,0,0,0,0
USSOC3,0,0,0,0,0,0,0,0,0,0,0,0,0
PTAXJop,0,0,0,0,0,0,0,0,0,0,0,0,0
STAXJop,0,0,0,0,0,0,0,0,0,0,0,0,0
OTXJop,0,0,0,0,0,0,0,0,0,0,0,0,0
MISSTAX,0,0,0,0,0,0,0,0,0,0,0,0,0
MISITAX,0,0,0,0,0,0,0,0,0,0,0,0,0
USPIT,0,0,0,0,0,0,0,0,0,0,0,0,0
CYGF,0,0,0,1,1,1,0,0,0,0,0,0,0
FED,1,1,1,0,0,0,0,0,1,0,0,0,0
STATE,0,0,0,0,0,0,1,1,0,0,0,0,0
CITY,0,0,0,0,0,0,0,0,0,0,0,0,0
